t, y
0, 2
0.0125, 2.01258
0.025, 2.02531
0.0375, 2.0382
0.05, 2.05125
0.0625, 2.06445
0.075, 2.07781
0.0875, 2.09133
0.1, 2.105
0.1125, 2.11883
0.125, 2.13281
0.1375, 2.14695
0.15, 2.16125
0.1625, 2.1757
0.175, 2.19031
0.1875, 2.20508
0.2, 2.22
0.2125, 2.23508
0.225, 2.25031
0.2375, 2.2657
0.25, 2.28125
0.2625, 2.29695
0.275, 2.31281
0.2875, 2.32883
0.3, 2.345
0.3125, 2.36133
0.325, 2.37781
0.3375, 2.39445
0.35, 2.41125
0.3625, 2.4282
0.375, 2.44531
0.3875, 2.46258
0.4, 2.48
0.4125, 2.49758
0.425, 2.51531
0.4375, 2.5332
0.45, 2.55125
0.4625, 2.56945
0.475, 2.58781
0.4875, 2.60633
0.5, 2.625
0.5125, 2.64383
0.525, 2.66281
0.5375, 2.68195
0.55, 2.70125
0.5625, 2.7207
0.575, 2.74031
0.5875, 2.76008
0.6, 2.78
0.6125, 2.80008
0.625, 2.82031
0.6375, 2.8407
0.65, 2.86125
0.6625, 2.88195
0.675, 2.90281
0.6875, 2.92383
0.7, 2.945
0.7125, 2.96633
0.725, 2.98781
0.7375, 3.00945
0.75, 3.03125
0.7625, 3.0532
0.775, 3.07531
0.7875, 3.09758
0.8, 3.12
0.8125, 3.14258
0.825, 3.16531
0.8375, 3.1882
0.85, 3.21125
0.8625, 3.23445
0.875, 3.25781
0.8875, 3.28133
0.9, 3.305
0.9125, 3.32883
0.925, 3.35281
0.9375, 3.37695
0.95, 3.40125
0.9625, 3.4257
0.975, 3.45031
0.9875, 3.47508
1, 3.5
